part_number,spec_application,supplystatus_sort,capacitance_sort[pF],rvol,rvol_ac_list,opetemp-max,tcc,LWSize_mm_inch,size_thickness_max,tolerance,Type,caution,file_information,,
GCM32EC71A476KE01,AIC|APS|MeI,In Production,47000000,10,-,125,X7S,3225M/1210,2.7,±10%,Powertrain/Safety for Automotive,,[n],[s],[t]
GCM32EC71A476KE02,AIC|APS|MeI,In Production,47000000,10,-,125,X7S,3225M/1210,2.7,±10%,Powertrain/Safety for Automotive [AEC-Q200],,[n],[s],[t]
KCM55QC71E476KH13,AIC|APS|MeI,In Production,47000000,25,-,125,X7S,5750M/2220,3.9,±10%,Metal terminal/ Automotive [AEC-Q200],,[n],[s],[t]
KRM55QC71E476KH13,CE|IE|MeI|ME,In Production,47000000,25,-,125,X7S,5750M/2220,3.9,±10%,Metal Terminal General,,[n],[s],[t]
GRM21BD70E476ME01,CE|IE|AIC|MeI|ME,In Production,47000000,2.5,-,125,X7T,2012M/0805,1.45,±20%,General Purpose,,[n],[s],[t]
GRM188D70E476ME01,CE|IE|AIC|MeI|ME,In Production,47000000,2.5,-,125,X7T,1608M/0603,1,±20%,General Purpose,,[n],[s],[t]
GCM21BD70E476ME35,AIC|APS|MeI,In Production,47000000,2.5,-,125,X7T,2012M/0805,1.45,±20%,Powertrain/Safety for Automotive,,[n],[s],[t]
GCM21BD70E476ME36,AIC|APS|MeI,In Production,47000000,2.5,-,125,X7T,2012M/0805,1.45,±20%,Powertrain/Safety for Automotive [AEC-Q200],,[n],[s],[t]
GCJ31CD70G476ME01,AIC|APS|MeI,In Production,47000000,4,-,125,X7T,3216M/1206,1.9,±20%,Resin external electrode for Powertrain/safety for Automotive [AEC-Q200],,[n],[s],[t]
GCM21BD70G476ME36,AIC|APS|MeI,In Production,47000000,4,-,125,X7T,2012M/0805,1.45,±20%,Powertrain/Safety for Automotive [AEC-Q200],derating7,[n],[s],[t]
GCM31CD70G476ME01,AIC|APS|MeI,In Production,47000000,4,-,125,X7T,3216M/1206,1.8,±20%,Powertrain/Safety for Automotive,,[n],[s],[t]
GCM31CD70G476ME02,AIC|APS|MeI,In Production,47000000,4,-,125,X7T,3216M/1206,1.8,±20%,Powertrain/Safety for Automotive [AEC-Q200],,[n],[s],[t]
GGM32ED70J476KE02,AIC|APS|MeI,In Production,47000000,6.3,-,125,X7T,3225M/1210,2.7,±10%,Water repellent/ Automotive [AEC-Q200],,[n],[s],[t]
GRM32ED71A476ME15,CE|IE|AIC|MeI|ME,In Production,47000000,10,-,125,X7T,3225M/1210,2.7,±20%,General Purpose,derating1,[n],[s],[t]
GRM32ED71A476KE15,CE|IE|AIC|MeI|ME,In Production,47000000,10,-,125,X7T,3225M/1210,2.7,±10%,General Purpose,derating1,[n],[s],[t]
GRM31CE70G476ME15,CE|IE|AIC|MeI|ME,In Production,47000000,4,-,125,X7U,3216M/1206,1.8,±20%,General Purpose,,[n],[s],[t]
GRM31CE70J476ME15,CE|IE|AIC|MeI|ME,In Production,47000000,6.3,-,125,X7U,3216M/1206,1.8,±20%,General Purpose,derating1,[n],[s],[t]
GCM31CM8EB476ME07,AIC|APS|MeI,In Production,47000000,4,-,150,X8M,3216M/1206,1.8,±20%,Powertrain/Safety for Automotive [AEC-Q200],derating4,[n],[s],[t]
GRMJN7R60J436ME05,ME,In Production,43000000,6.3,-,85,X5R,1810M/0704,0.8,±20%,General Purpose,derating1|mobile,[n],[s],[t]
GRT32DR60J336ME01,IE|AIC|MeI,In Production,33000000,6.3,-,85,X5R,3225M/1210,2.2,±20%,Infotainment for Automotive [AEC-Q200],derating1,[n],[s],[t]
KRM55QR71E336KH01,CE|IE|MeI|ME,In Production,33000000,25,-,125,X7R,5750M/2220,3.9,±10%,Metal Terminal General,,[n],[s],[t]
KCM55QR71E336KH01,AIC|APS|MeI,In Production,33000000,25,-,125,X7R,5750M/2220,3.9,±10%,Metal terminal/ Automotive [AEC-Q200],,[n],[s],[t]
KCM55TR7YA336MH01,AIC|APS|MeI,In Production,33000000,35,-,125,X7R,5750M/2220,5,±20%,Metal terminal/ Automotive [AEC-Q200],,[n],[s],[t]
KRM55TR7YA336MH01,CE|IE|MeI|ME,In Production,33000000,35,-,125,X7R,5750M/2220,5,±20%,Metal Terminal General,,[n],[s],[t]
KRM55WR71H336MH01,CE|IE|MeI|ME,In Production,33000000,50,-,125,X7R,5750M/2220,6.7,±20%,Metal Terminal General,,[n],[s],[t]
KCM55WR71H336MH01,AIC|APS|MeI,In Production,33000000,50,-,125,X7R,5750M/2220,6.7,±20%,Metal terminal/ Automotive [AEC-Q200],,[n],[s],[t]
GRM188B30G226MEA0,CE|IE|AIC|MeI|ME,In Production,22000000,4,-,85,B,1608M/0603,1,±20%,General Purpose,,[n],[s],[t]
GRM188B30J226MEA0,CE|IE|AIC|MeI|ME,In Production,22000000,6.3,-,85,B,1608M/0603,1,±20%,General Purpose,derating1,[n],[s],[t]
GRM319B31C226ME15,CE|IE|AIC|MeI|ME,In Production,22000000,16,-,85,B,3216M/1206,0.95,±20%,General Purpose,derating1,[n],[s],[t]
GCM32ER11A226KE11,AIC|APS|MeI,In Production,22000000,10,-,125,R,3225M/1210,2.7,±10%,Powertrain/Safety for Automotive,,[n],[s],[t]
GCM32ER11A226ME11,AIC|APS|MeI,In Production,22000000,10,-,125,R,3225M/1210,2.7,±20%,Powertrain/Safety for Automotive,,[n],[s],[t]
GRT188R60E226ME13,IE|AIC|MeI,In Production,22000000,2.5,-,85,X5R,1608M/0603,0.95,±20%,Infotainment for Automotive [AEC-Q200],derating1,[n],[s],[t]
GRM155R60G226ME11,ME,In Production,22000000,4,-,85,X5R,1005M/0402,0.7,±20%,General Purpose,mobile,[n],[s],[t]
GRM188R60G226MEA0,CE|IE|AIC|MeI|ME,In Production,22000000,4,-,85,X5R,1608M/0603,1,±20%,General Purpose,,[n],[s],[t]
ZRB186R60G226ME11,ME,In Production,22000000,4,-,85,X5R,1608M/0603,0.8,±20%,Acoustic noise reduction (interposer),mobile,[n],[s],[t]
GRM186R60G226ME15,ME,In Production,22000000,4,-,85,X5R,1608M/0603,0.6,±20%,General Purpose,mobile,[n],[s],[t]
GRM187R60J226ME15,ME,In Production,22000000,6.3,-,85,X5R,1608M/0603,0.8,±20%,General Purpose,mobile,[n],[s],[t]
GRM188R60J226ME15,CE|IE|AIC|MeI|ME,In Production,22000000,6.3,-,85,X5R,1608M/0603,1,±20%,General Purpose,,[n],[s],[t]
GRM21BR60J226ME39,CE|IE|AIC|MeI|ME,In Production,22000000,6.3,-,85,X5R,2012M/0805,1.4,±20%,General Purpose,,[n],[s],[t]
GRM186R60J226ME15,ME,In Production,22000000,6.3,-,85,X5R,1608M/0603,0.6,±20%,General Purpose,derating1|mobile,[n],[s],[t]
ZRB186R60J226ME11,ME,In Production,22000000,6.3,-,85,X5R,1608M/0603,0.8,±20%,Acoustic noise reduction (interposer),derating1|mobile,[n],[s],[t]
GCH21BR60J226ME11,MI,In Production,22000000,6.3,-,85,X5R,2012M/0805,1.45,±20%,Implantable medical device,,[n],[s],[t]
GRM155R60J226ME11,ME,In Production,22000000,6.3,-,85,X5R,1005M/0402,0.7,±20%,General Purpose,derating1|mobile,[n],[s],[t]
GCH31CR60J226KE01,MI,In Production,22000000,6.3,-,85,X5R,3216M/1206,1.8,±10%,Implantable medical device,,[n],[s],[t]
GRM158R60J226ME01,ME,In Production,22000000,6.3,-,85,X5R,1005M/0402,0.8,±20%,General Purpose,mobile,[n],[s],[t]
GRM188R60J226MEA0,CE|IE|AIC|MeI|ME,In Production,22000000,6.3,-,85,X5R,1608M/0603,1,±20%,General Purpose,derating1,[n],[s],[t]
GRT21BR60J226ME13,IE|AIC|MeI,In Production,22000000,6.3,-,85,X5R,2012M/0805,1.4,±20%,Infotainment for Automotive [AEC-Q200],derating1,[n],[s],[t]
GRT188R60J226ME13,IE|AIC|MeI,In Production,22000000,6.3,-,85,X5R,1608M/0603,1,±20%,Infotainment for Automotive [AEC-Q200],derating1,[n],[s],[t]
